FID;ET_X;ET_Y
120;-23.349720000000001;81.900059999999996
121;-23.366830000000000;81.866829999999993
122;-23.391649999999998;81.815669999999997
123;-23.350549999999998;81.735889999999998
124;-24.227260000000001;81.695020000000000
125;-24.366499999999998;81.666499999999999
126;-24.455860000000001;81.649060000000006
127;-25.086600000000001;81.604969999999994
128;-25.349840000000000;81.566500000000005
129;-25.750160000000001;81.550169999999994
130;-25.849840000000000;81.533169999999998
131;-26.065329999999999;81.506829999999994
132;-26.183170000000000;81.466499999999996
133;-26.350180000000002;81.446089999999998
134;-26.650469999999999;81.452219999999997
135;-26.649529999999999;81.498030000000000
136;-26.366499999999998;81.516499999999994
137;-26.300160000000002;81.533500000000004
138;-26.199839999999998;81.549830000000000
139;-26.050160000000002;81.583500000000001
140;-25.866499999999998;81.599829999999997
141;-25.785760000000000;81.620530000000002
142;-25.272590000000001;81.656400000000005
143;-25.166830000000001;81.683499999999995
144;-24.915900000000001;81.702389999999994
145;-24.692460000000001;81.740499999999997
146;-24.566830000000000;81.783500000000004
147;-24.458890000000000;81.809809999999999
148;-24.416830000000001;81.840860000000006
149;-24.566830000000000;81.883170000000007
150;-24.583169999999999;81.896180000000001
151;-24.499839999999999;81.916499999999999
152;-24.483499999999999;81.928200000000004
153;-24.599540000000001;81.965860000000006
154;-24.625779999999999;81.993150000000000
155;-24.818020000000001;82.016649999999998
156;-26.150160000000000;82.033169999999998
157;-26.932490000000001;82.056650000000005
158;-27.399999999999999;82.047110000000004
159;-27.600000000000001;82.051190000000005
160;-27.666499999999999;82.049830000000000
161;-28.566830000000000;82.033500000000004
162;-28.733170000000001;82.016499999999994
163;-29.000160000000001;82.000169999999997
164;-29.173929999999999;81.974779999999996
165;-29.418410000000002;81.900790000000001
166;-29.449839999999998;81.933499999999995
167;-29.495590000000000;81.966499999999996
168;-30.083169999999999;81.933170000000004
169;-30.383500000000002;81.916830000000004
170;-30.549840000000000;81.899829999999994
171;-30.833500000000001;81.883499999999998
172;-31.033169999999998;81.866500000000002
173;-31.266829999999999;81.850170000000006
174;-31.681999999999999;81.817539999999994
175;-31.855660000000000;81.781970000000001
176;-32.105530000000002;81.747090000000000
177;-32.199840000000002;81.683170000000004
178;-32.366830000000000;81.666830000000004
179;-32.499839999999999;81.649829999999994
180;-32.583170000000003;81.642740000000003
181;-32.520670000000003;81.734930000000006
182;-32.716500000000003;81.782669999999996
183;-32.733170000000001;81.807969999999997
184;-32.410240000000002;81.836690000000004
185;-32.233499999999999;81.866829999999993
186;-31.782010000000000;81.913830000000004
187;-31.361960000000000;81.953400000000002
188;-30.966500000000000;81.983170000000001
189;-30.804259999999999;82.010840000000002
190;-30.416499999999999;82.033169999999998
191;-30.139779999999998;82.053359999999998
192;-29.916210000000000;82.086029999999994
193;-29.916850000000000;82.116829999999993
194;-29.737890000000000;82.138700000000000
195;-29.425000000000001;82.132310000000004
196;-29.260660000000001;82.135670000000005
197;-28.466830000000002;82.166830000000004
198;-27.585339999999999;82.186459999999997
199;-26.783500000000000;82.166499999999999
200;-25.966500000000000;82.150170000000003
201;-25.792149999999999;82.127880000000005
202;-25.183330000000002;82.140309999999999
203;-24.782489999999999;82.132130000000004
204;-24.039580000000001;82.155820000000006
205;-23.850159999999999;82.183499999999995
206;-23.716500000000000;82.199830000000006
207;-23.633500000000002;82.216830000000002
208;-23.174040000000002;82.266750000000002
209;-21.716500000000000;82.283169999999998
210;-21.673340000000000;82.284049999999993
211;-21.416830000000001;82.316829999999996
212;-21.266500000000001;82.333169999999996
213;-21.183499999999999;82.350170000000006
214;-21.049350000000000;82.376360000000005
215;-21.050760000000000;82.445599999999999
216;-20.666499999999999;82.466499999999996
217;-20.533500000000000;82.483500000000006
218;-20.399840000000001;82.499830000000003
219;-20.300160000000002;82.516829999999999
220;-20.013510000000000;82.550179999999997
221;-19.866240000000001;82.587919999999997
222;-19.866890000000001;82.619600000000005
223;-20.083500000000001;82.649829999999994
224;-20.166499999999999;82.666830000000004
225;-20.323129999999999;82.683850000000007
226;-20.516500000000001;82.716830000000002
227;-20.650160000000000;82.733170000000001
228;-20.799840000000000;82.766829999999999
229;-20.950330000000001;82.791330000000002
230;-21.099840000000000;82.816829999999996
231;-21.870120000000000;82.836179999999999
232;-22.137239999999998;82.881739999999994
233;-22.322050000000001;82.907539999999997
234;-22.725000000000001;82.899320000000003
235;-22.952100000000002;82.903949999999995
236;-23.149840000000001;82.925579999999997
237;-23.099409999999999;82.950029999999998
238;-23.166910000000001;82.971930000000000
239;-23.524999999999999;82.964630000000000
240;-23.675000000000001;82.967690000000005
241;-23.876090000000001;82.963579999999993
242;-24.273009999999999;82.895880000000005
243;-24.577880000000000;82.902100000000004
244;-24.616499999999998;82.927059999999997
245;-24.499839999999999;82.949830000000006
