('Polygon_number', 'Longitude', 'Latitude', 'Func_value')
0 66.0837554932 81.8019332886 0
0 66.0837554932 81.8019332886 0
0 65.7090377808 81.9205245972 0
0 65.7090377808 81.9205245972 0
0 65.323135376 82.038772583 0
0 64.6986236572 82.0702133179 0
0 64.069190979 82.1007156372 0
0 63.8531570435 82.0138168335 0
0 63.2250747681 82.0430297852 0
0 62.5924263 82.0712814331 0
0 62.393321991 81.9836502075 0
0 61.7625541687 82.010635376 2
0 61.7625541687 82.010635376 0
0 61.3138542175 82.1248779297 0
0 60.6681594849 82.1501922607 2
0 60.0183601379 82.1745071411 2
0 59.3645820618 82.1978149414 2
0 58.7069625854 82.2201080322 2
0 58.0456352234 82.2413635254 1
0 58.0456352234 82.2413635254 1
0 58.2010879517 82.3308792114 1
0 57.6803817749 82.4410476685 1
0 57.5288085938 82.3513412476 1
0 57.3807563782 82.2615966797 1
0 56.7124710083 82.2807769775 1
0 56.0409393311 82.2989044189 1
0 55.3663215637 82.3159790039 1
0 54.688785553 82.3319778442 1
0 54.5742263794 82.2413635254 1
0 53.901714325 82.2561187744 2
0 53.2267227173 82.2698059082 2
0 52.5494232178 82.2824249268 0
0 51.8699913025 82.2939605713 0
0 51.8699913025 82.2939605713 0
0 51.2634887695 82.3957824707 0
0 50.5721969604 82.4052581787 0
0 49.8792724609 82.4136352539 0
0 49.18491745 82.4208984375 0
0 48.4893264771 82.4270477295 0
0 47.7927017212 82.4320831299 0
0 47.0952529907 82.4360046387 0
0 47.0700302124 82.3441467285 0
0 46.380355835 82.3469161987 0
0 45.6902770996 82.3485717773 0
0 45.0 82.3491287231 0
0 45.0 82.2572174072 0
0 44.3179397583 82.2566680908 0
0 43.6360740662 82.255027771 0
0 42.9545898438 82.2522964478 0
0 42.9545898438 82.2522964478 1
1 18.6156921387 76.9675369263 0
1 18.4349479675 77.0491485596 0
1 18.7998847961 77.0896682739 0
1 18.6185894012 77.1714324951 0
1 18.9876232147 77.2117004395 0
1 18.8057899475 77.2936172485 0
1 19.1790084839 77.3336181641 0
1 18.9966545105 77.415687561 0
1 19.3741397858 77.4554214478 0
1 19.9325370789 77.4120178223 0
1 20.1086997986 77.3293151855 0
1 20.1086997986 77.3293151855 0
1 20.6589107513 77.2843780518 0
1 20.6589107513 77.2843780518 0
1 21.2051639557 77.2382888794 0
1 21.2051639557 77.2382888794 0
1 21.7474079132 77.1910629272 0
1 21.9087047577 77.1072158813 0
1 21.9087047577 77.1072158813 0
1 22.4427528381 77.0585403442 0
1 22.4427528381 77.0585403442 0
1 22.8196563721 77.09324646 0
